cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia
2006,120,120,0,29,0,0,0,0,120,0,1
1997,50,50,1,49,0,0,0,2,50,0,1
2009,50,50,0,29,0,0,0,2,50,0,1
2006,50,50,0,29,0,1,0,1,50,0,1
1997,50,50,0,59,0,1,1,2,50,0,1
2003,50,50,0,34,0,5,0,2,50,0,1
1992,50,50,0,44,0,6,0,2,50,2,4
2004,50,50,0,24,0,1,0,1,50,0,2
1998,50,50,1,34,0,5,0,1,50,0,3
2008,50,50,0,34,0,1,0,1,50,0,1
2009,50,50,0,20,0,6,0,1,50,0,2
2008,120,120,0,75,0,0,0,0,120,1,0
1997,50,50,1,44,0,6,0,2,50,0,3
1997,120,120,0,39,0,0,0,0,120,1,3
2007,50,50,1,29,0,1,0,2,50,0,1
1998,50,50,0,69,0,5,0,2,50,0,1
2000,50,50,0,20,0,0,0,2,50,0,1
2002,50,50,0,17,0,6,0,2,50,0,1
2007,50,50,0,29,0,6,0,1,50,0,1
2000,50,50,1,29,0,6,0,2,50,0,1
2008,120,120,0,54,0,5,0,0,120,0,2
1992,50,50,0,29,0,6,0,2,50,0,1
2008,50,50,0,24,0,1,0,2,50,0,2
2003,50,50,0,34,0,0,0,2,50,1,0
2002,50,90,1,34,0,6,2,6,50,0,1
1990,50,90,0,75,0,5,0,1,50,0,2
2004,50,50,0,29,0,0,0,2,50,0,1
1999,50,50,0,59,0,6,0,1,50,0,2
2004,50,50,0,29,0,0,0,2,50,0,1
1993,120,120,0,39,0,1,0,0,120,0,1
1996,50,50,1,49,0,0,0,2,50,0,2
2003,50,50,1,44,0,1,0,2,50,0,1
1991,50,90,1,29,0,0,0,2,50,0,1
1999,50,50,0,69,0,5,0,2,50,0,1
1991,50,50,0,39,0,1,0,2,50,0,1
1986,120,120,0,24,0,1,0,0,120,0,1
2007,50,50,0,34,0,5,0,2,50,0,1
1998,50,50,0,29,1,6,0,1,50,0,3
2007,50,50,1,39,0,0,0,2,50,0,1
2001,80,90,0,39,0,6,0,1,80,0,1
1999,60,60,0,54,0,5,0,1,60,0,1
1999,50,50,0,69,0,0,0,2,50,0,1
2002,50,50,0,74,0,6,0,2,50,0,1
2006,50,50,1,44,1,5,0,2,50,0,1
1993,90,90,0,75,0,0,0,1,90,0,3
1999,50,50,0,20,1,6,0,2,50,0,1
1991,50,90,0,44,0,5,0,1,50,0,2
2001,90,90,0,29,0,6,0,1,90,0,1
2000,50,50,0,54,0,5,0,2,50,0,1
2000,50,50,1,54,0,1,0,2,50,0,1
2004,50,50,1,44,0,5,0,1,50,0,1
