cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia,aCaracterísticasTecnicas1,aCondAderência,aNumMortosa30dias,aFactoresAtmosféricos,aNatureza,pAcessóriosPassageiro,pLesõesa30dias
1998,50,50,1,34,1,0,0,4,0,3,2,6,0,0,3,0,0
1998,50,50,0,69,1,0,0,1,0,1,0,5,0,1,9,0,0
2008,120,120,0,54,1,0,0,0,0,2,1,6,0,0,16,0,0
1990,50,90,0,75,1,0,0,4,0,2,0,6,0,0,16,0,0
1999,50,50,0,69,1,0,0,1,0,1,0,6,0,0,8,4,0
1999,60,60,0,54,1,0,0,4,0,1,2,6,0,0,12,0,0
1991,50,90,0,44,1,0,0,4,0,2,0,7,0,1,7,0,0
2007,120,120,0,29,1,0,0,0,0,1,1,7,0,1,8,0,0
1998,90,90,1,39,1,0,0,3,2,2,0,6,0,0,7,0,3
1999,90,90,0,59,1,0,0,4,0,2,0,6,0,0,10,0,0
2008,110,110,0,59,1,0,0,0,0,2,1,7,0,1,14,0,0
2003,50,50,0,69,1,0,0,1,0,2,0,6,0,0,11,0,0
2005,50,50,1,34,1,0,0,1,0,2,0,5,0,0,7,0,0
2006,50,50,1,44,1,0,0,1,0,3,0,6,0,1,3,4,0
2009,90,90,0,39,1,0,0,4,0,1,0,6,0,0,9,0,0
1986,50,50,1,44,1,0,0,1,0,2,0,6,0,1,8,0,0
1996,50,50,0,44,1,0,0,4,0,2,0,5,0,1,3,0,0
2005,90,90,0,74,1,0,0,4,0,3,0,6,0,0,8,0,0
1999,120,120,0,29,1,0,0,0,0,1,1,7,0,1,9,0,0
1996,50,50,0,34,1,0,0,4,0,1,0,6,0,0,5,0,0
1997,80,90,0,49,1,0,0,4,0,1,0,7,0,1,9,0,0
2004,120,120,0,54,1,1,0,0,0,1,1,7,0,0,8,0,0
1996,50,50,0,44,1,0,0,3,0,1,0,6,0,0,11,0,0
2001,50,50,0,54,1,1,0,1,0,2,0,6,0,0,16,4,0
2002,50,50,0,74,1,0,0,1,0,1,0,6,0,0,7,0,0
2000,50,50,0,59,1,0,0,1,0,3,0,7,0,1,8,0,0
2007,50,50,1,44,1,0,0,1,0,2,0,7,0,1,8,0,0
2005,90,120,0,29,1,0,0,0,0,2,1,6,0,0,3,0,0
1999,50,50,1,29,1,1,0,4,0,6,2,5,0,0,5,0,0
2002,50,50,0,54,1,0,2,1,0,6,0,7,0,1,16,0,0
2000,100,100,0,29,1,0,0,7,0,1,2,6,0,0,9,0,0
2003,60,120,0,29,1,1,0,0,0,2,1,7,0,1,3,0,0
1988,50,50,0,59,1,0,2,1,2,0,0,6,0,0,8,0,3
2000,50,50,0,44,1,0,0,1,0,1,0,6,0,0,7,0,0
2002,50,50,1,44,1,1,1,4,0,2,0,6,0,0,9,0,0
2005,40,90,1,44,1,0,0,3,0,2,0,7,0,1,8,0,0
1998,50,50,0,29,1,0,0,1,0,1,0,6,0,0,9,0,0
1994,90,90,0,54,1,0,0,4,0,1,0,7,0,1,16,0,0
2000,70,90,0,29,1,0,0,6,0,1,2,6,0,0,8,0,0
2007,50,50,1,24,1,0,0,1,0,1,0,7,0,1,16,0,0
1990,50,50,0,34,1,0,0,1,0,1,0,6,0,0,8,0,0
2007,50,50,1,59,1,0,0,1,0,2,0,6,0,0,5,0,0
2009,50,50,0,75,1,0,0,1,0,4,0,5,0,0,8,0,0
2002,90,90,0,29,1,0,0,4,2,3,0,5,0,1,10,4,0
1997,50,50,1,20,1,0,0,1,0,2,0,6,0,0,11,0,0
1996,50,50,1,20,1,0,0,1,0,1,0,7,0,1,16,0,0
2001,50,50,0,34,1,0,0,1,0,2,0,6,0,0,6,0,0
1987,50,50,0,74,1,2,0,1,0,1,0,7,0,1,12,0,0
1991,50,50,1,20,1,0,2,1,0,1,0,5,0,1,8,4,0
2005,50,50,1,34,1,0,0,4,0,1,0,6,0,0,6,1,0
2004,70,70,1,24,1,0,0,4,0,1,2,6,0,0,3,0,0
1995,90,90,0,54,1,0,0,4,0,2,0,5,0,1,7,0,0
1992,50,50,0,54,1,0,0,4,0,3,0,6,0,1,7,0,0
2000,50,50,0,49,1,0,0,3,0,2,0,7,1,1,5,4,1
2001,50,50,0,49,1,0,0,4,1,1,2,6,1,0,8,0,3
1998,50,50,0,24,1,0,2,1,0,2,0,6,0,0,5,0,0
1999,50,50,0,74,1,1,2,1,0,1,0,6,0,0,9,0,0
2010,50,50,1,44,1,0,0,4,0,2,0,6,0,0,14,0,0
2009,90,90,0,24,1,0,2,0,0,1,1,6,0,1,12,0,0
2005,90,90,0,24,1,0,0,3,0,4,2,6,0,0,7,1,0
1991,120,120,0,39,1,0,0,0,0,3,1,6,0,0,8,0,0
2010,90,90,0,49,1,0,0,6,2,2,0,5,1,4,7,0,3
1994,90,90,0,34,1,0,0,4,1,0,0,6,1,0,15,0,1
