cvAnomatricula,aVelocidadelocal,cvSexo,cvIdade
2006,120,0,29
1997,50,1,49
2009,50,0,29
2006,50,0,29
1997,50,0,59
2008,50,0,34
2006,90,0,39
2003,50,0,34
1992,50,0,44
2004,50,0,24
1996,50,0,24
2006,50,1,39
2007,120,1,29
1998,50,1,34
2004,50,0,34
2008,50,0,34
1997,90,0,54
2009,50,0,20
1991,50,0,20
2008,120,0,75
2004,50,1,44
2002,50,1,39
1997,50,1,44
2002,50,0,54
1997,120,0,39
2007,50,1,29
1998,50,0,69
2000,50,0,20
2003,50,0,49
2002,50,0,17
2007,50,0,29
2000,50,1,29
2003,90,1,49
1996,50,0,44
2008,120,0,54
1992,50,0,29
2008,50,0,24
2003,50,0,34
2007,50,0,39
2002,50,1,34
1990,50,0,75
2004,50,0,29
1999,50,0,59
2004,50,0,29
1993,120,0,39
2000,50,0,49
1996,50,1,49
2003,50,1,44
1994,60,0,59
1991,50,1,29
1999,50,0,69
1991,50,0,39
1986,120,0,24
2007,50,0,34
1998,50,0,29
2000,90,1,54
2007,50,1,39
2001,80,0,39
2001,50,0,24
1999,60,0,54
1999,50,0,69
2002,50,0,74
2006,50,1,44
1993,90,0,75
1999,50,0,20
1991,50,0,44
2001,90,0,29
2004,50,0,29
2000,50,0,54
2000,50,1,54
2004,50,1,44
1998,100,0,59
2000,90,1,59
2001,50,0,69
1991,50,0,29
2006,80,0,24
1991,50,0,54
2007,50,1,54
2003,50,0,24
1999,50,1,34
1990,50,0,49
1999,50,1,44
1998,50,0,34
1996,80,1,39
2002,90,1,49
2000,40,0,69
1998,50,0,29
1991,50,0,75
1997,70,1,75
2003,50,0,20
2009,120,0,39
1999,50,0,44
2006,50,0,39
2003,60,0,29
1999,50,0,39
2008,50,0,20
1999,50,1,24
2009,120,0,44
1988,50,1,24
2007,120,0,29
2009,40,1,54
1991,50,1,44
2005,90,0,20
2001,50,1,20
2008,50,0,29
2000,50,0,54
2005,50,1,44
2005,50,0,44
